"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"UR01_CP"	"UR01"	"IV01_RV1"	"IV02_01"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR01_05"	"TR01_05a"	"TR01_06"	"TR01_06a"	"TR01_07"	"TR01_07a"	"TR01_08"	"TR01_08a"	"TR01_09"	"TR01_09a"	"TR01_10"	"TR01_10a"	"TR01_11"	"TR01_11a"	"TR01_12"	"TR01_12a"	"TR01_13"	"TR01_13a"	"TR01_14"	"TR01_14a"	"TR01_15"	"TR01_15a"	"TR01_16"	"TR01_16a"	"TR02_01"	"TR02_01a"	"TR02_02"	"TR02_02a"	"TR02_03"	"TR02_03a"	"TR02_04"	"TR02_04a"	"TR02_05"	"TR02_05a"	"TR02_06"	"TR02_06a"	"TR02_07"	"TR02_07a"	"TR02_08"	"TR02_08a"	"TR02_09"	"TR02_09a"	"TR02_10"	"TR02_10a"	"TR02_11"	"TR02_11a"	"TR02_12"	"TR02_12a"	"TR02_13"	"TR02_13a"	"TR02_14"	"TR02_14a"	"TR02_15"	"TR02_15a"	"TR02_16"	"TR02_16a"	"DV01_01"	"DV01_01a"	"DV03_01"	"DV03_01a"	"DV02_01"	"DV02_01a"	"DV04_01"	"DV04_01a"	"DV05_01"	"DV05_02"	"DV05_03"	"DV05_04"	"DM01_01"	"DM02"	"DM03"	"DM04"	"DM05"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
50			"base"	"interview"	2019-05-08 12:53:25	0	22	"5c5c210e12433d0001c5f75b"	"Forced1Forced2Forced2Forced2Forced2Forced2Forced4Forced4Forced4Forced2Forced1Forced2Forced2Forced2Forced3Forced1DV1Inst3Forced7Forced5Forced6Forced7Forced7Forced7Forced8Forced7Forced7Forced5Forced7Forced8Forced7Forced7Forced8Forced5DV2"	1	5466	1	7665	1	4290	1	2520	1	2458	1	2112	1	5120	1	813	1	829	1	1557	1	3139	1	609	1	528	1	709	1	2431	1	1386	1	1965	1	1460	1	994	1	919	1	773	1	589	1	1105	1	590	1	554	1	2408	1	2748	1	841	1	546	1	507	1	620	1	895	1	11250	1	5237	2	5388	2	2392	38	60	78	79	"5c5c210e12433d0001c5f75b"	14	2	2	5	11	7	5	12	28	4	9	12	16	6	1	17	4	6	3	6	25	3	12	32	208		2019-05-08 12:57:05	T	F	20	20	0	0	0.95	18
51			"base"	"interview"	2019-05-08 12:53:37	0	26	"5c71329bac55b10001214383"	"Forced3Forced2Forced1Forced1Forced4Forced4Forced4Forced2Forced2Forced2Forced1Forced2Forced2Forced2Forced2Forced2DV1Inst3Forced5Forced7Forced7Forced7Forced8Forced7Forced6Forced8Forced5Forced7Forced8Forced5Forced7Forced7Forced7Forced7DV2"	1	4283	1	4473	1	2502	1	2382	1	1029	1	591	1	3708	1	683	1	609	1	833	1	1075	1	792	1	659	1	551	1	335	1	383	1	1542	1	1040	1	941	1	601	1	1177	1	513	1	806	1	661	1	484	1	519	1	622	1	565	1	617	1	569	1	495	1	589	2	4158	1	8046	1	5182	2	2925	36	56	56	34	"5c71329bac55b10001214383"	5	1	2	4	29	4	3	8	16	5	7	5	5	5	1	13	3	6	3	9	12	4	7	35	180		2019-05-08 12:56:37	T	F	20	20	0	0	1.12	20
52			"base"	"interview"	2019-05-08 12:55:07	0	19	"5995f69e3ae1c80001106557"	"Forced1Forced3Forced3Forced3Forced3Forced3Forced1Forced3Forced4Forced2Forced3Forced3Forced3Forced4Forced4Forced1DV1Inst3Forced8Forced6Forced6Forced6Forced5Forced8Forced6Forced8Forced6Forced5Forced5Forced6Forced6Forced6Forced7Forced6DV2"	1	4839	1	2571	1	2485	1	1527	1	2247	1	1333	1	1564	1	857	1	3057	1	4864	1	1207	1	1047	1	963	1	1449	1	1348	1	1487	1	1682	1	1762	1	1039	1	747	1	1083	1	1120	1	1017	1	883	1	1120	1	1078	1	866	1	701	1	789	1	751	1	1340	1	965	2	13941	2	7412	2	9821	1	2242	59	26	53	25	"5995f69e3ae1c80001106557"	7	2	2	5	8	3	3	10	6	21	9	15	6	5	17	2	6	10	3	8	15	3	11	23	184		2019-05-08 12:58:11	T	F	20	20	0	0	1.07	15
53			"base"	"interview"	2019-05-08 12:55:36	0	17	"5ba7aa4ab9035a0001deb5ef"	"Forced3Forced1Forced3Forced2Forced2Forced1Forced1Forced1Forced1Forced2Forced4Forced1Forced1Forced3Forced1Forced1DV1Inst3Forced8Forced8Forced7Forced8Forced8Forced7Forced8Forced5Forced8Forced6Forced7Forced8Forced6Forced6Forced8Forced8DV2"	1	9728	1	7044	1	5385	1	4945	1	2002	1	1335	1	1342	1	1377	1	4076	1	1731	1	2527	1	4594	1	1890	1	1542	1	1148	1	1106	1	1567	1	899	1	1608	1	896	1	714	1	892	1	726	1	2087	1	910	1	1634	1	955	1	975	1	978	1	687	1	952	1	803	2	7872	1	6311	1	4289	2	2656	37	63	49	23	"5ba7aa4ab9035a0001deb5ef"	10	1	2	3	23	8	4	31	11	21	3	8	6	3	6	5	18	5	3	7	16	3	9	26	216		2019-05-08 12:59:12	T	F	20	20	0	0	0.95	7
54			"base"	"interview"	2019-05-08 12:56:43	0	23	"5be0a4f8c83f480001a9d302"	"Forced3Forced1Forced3Forced2Forced4Forced3Forced4Forced3Forced1Forced3Forced4Forced3Forced1Forced3Forced3Forced3DV1Inst3Forced6Forced6Forced6Forced8Forced6Forced8Forced6Forced5Forced5Forced8Forced5Forced6Forced6Forced6Forced6Forced7DV2"	1	6837	1	2596	1	917	1	3561	1	2102	1	631	1	544	1	644	1	736	1	694	1	700	1	610	1	470	1	491	1	512	1	460	1	2126	1	565	1	590	1	1319	1	539	1	7447	1	1299	1	618	1	1148	1	823	1	587	1	518	1	851	1	489	1	521	1	1588	2	3308	2	3729	2	3401	1	3949	33	85	29	79	"5be0a4f8c83f480001a9d302"	2	1	2	4	20	6	1	5	4	22	5	4	2	6	15	3	12	4	1	5	8	4	7	12	146		2019-05-08 12:59:09	T	F	20	20	0	0	1.48	32
55			"base"	"interview"	2019-05-08 12:57:45	0	29	"5be0e74e5db0ca0001b3a13a"	"Forced2Forced1Forced1Forced1Forced3Forced2Forced1Forced1Forced3Forced3Forced1Forced1Forced1Forced1Forced4Forced2DV1Inst3Forced6Forced7Forced8Forced6Forced8Forced8Forced8Forced8Forced8Forced7Forced6Forced7Forced5Forced8Forced8Forced8DV2"	1	20310	1	5147	1	3688	1	1364	1	3738	1	2433	1	1125	1	1052	1	1443	1	789	1	1206	1	846	1	738	1	1176	1	1862	1	1480	1	2217	1	2329	1	1468	1	1277	1	1320	1	885	1	796	1	781	1	637	1	1178	1	1238	1	1105	1	2824	1	1098	1	684	1	612	2	4146	1	3125	2	6103	2	3364	51	82	12	42	"5be0e74e5db0ca0001b3a13a"	3	2	2	4	15	11	7	24	28	8	2	5	4	3	7	8	16	7	4	4	20	4	14	17	208		2019-05-08 13:01:13	T	F	20	20	0	0	0.96	11
56			"base"	"interview"	2019-05-08 12:58:31	0	5	"5c15987500b8ee0001d0e380"	"Forced1Forced1Forced1Forced1Forced2Forced1Forced4Forced1Forced2Forced3Forced2Forced3Forced1Forced1Forced1Forced3DV1Inst3Forced5Forced6Forced8Forced6Forced8Forced6Forced8Forced7Forced8Forced8Forced8Forced7Forced8Forced7Forced8Forced8DV2"	1	7901	1	7829	1	4392	1	1019	1	2179	1	1080	1	2835	1	1356	1	1353	1	1731	1	1228	1	1664	1	1443	1	1143	1	1014	1	2004	1	1770	1	1049	1	1447	1	1000	1	1270	1	887	1	663	1	1446	1	823	1	789	1	718	1	1006	1	746	1	625	1	699	1	544	1	4392	1	4369	2	3924	2	3124	73	46	15	38	"5c15987500b8ee0001d0e380"	3	2	2	4	25	11	6	37	7	7	4	6	4	3	6	6	14	4	4	5	15	4	10	14	192		2019-05-08 13:01:45	T	F	20	20	0	0	1	8
57			"base"	"interview"	2019-05-08 12:58:39	0	13	"59170ddf2b6cff00014219ed"	"Forced1Forced1Forced3Forced1Forced1Forced3Forced4Forced2Forced1Forced2Forced3Forced2Forced1Forced1Forced1Forced1DV1Inst3Forced8Forced5Forced6Forced8Forced7Forced8Forced7Forced8Forced8Forced8Forced6Forced8Forced8Forced8Forced6Forced7DV2"	1	15600	1	3987	1	10028	1	5432	1	971	1	1873	1	9782	1	2801	1	2519	1	1299	1	2253	1	1315	1	6398	1	1087	1	709	1	669	1	3142	1	2780	1	1088	1	1255	1	5824	1	1135	1	847	1	834	1	825	1	697	1	2465	1	1204	1	830	1	753	1	1255	1	1453	1	14903	1	7141	2	3868	2	5758	88	36	17	78	"59170ddf2b6cff00014219ed"	15	2	1	5	17	19	10	44	8	17	10	15	7	4	5	11	18	4	3	8	25	6	14	33	278		2019-05-08 13:03:17	T	F	20	20	0	0	0.7	2
58			"base"	"interview"	2019-05-08 12:58:51	0	24	"5cab1a44a5568f0001f7587b"	"Forced4Forced4Forced4Forced1Forced4Forced3Forced2Forced4Forced2Forced3Forced4Forced4Forced4Forced4Forced3Forced2DV1Inst3Forced5Forced7Forced5Forced5Forced5Forced8Forced6Forced7Forced6Forced5Forced5Forced5Forced7Forced5Forced6Forced5DV2"	1	1676	1	1142	1	772	1	784	1	572	1	2969	1	556	1	482	1	561	1	692	1	1898	1	2055	1	8254	1	622	1	603	1	697	1	832	1	1647	1	661	1	697	1	3452	1	566	1	418	1	354	1	1303	1	3090	1	1316	1	812	1	715	1	612	1	726	1	694	1	5901	2	6637	1	5220	1	2660	20	86	79	49	"5cab1a44a5568f0001f7587b"	4	1	2	4	20	3	3	2	3	6	24	7	5	18	4	5	1	6	3	7	15	3	9	18	149		2019-05-08 13:01:33	T	F	20	20	0	0	1.32	32
59			"base"	"interview"	2019-05-08 13:00:23	0	21	"5c399e3dbc644400013418e6"	"Forced2Forced2Forced1Forced1Forced3Forced4Forced1Forced3Forced1Forced3Forced1Forced1Forced1Forced1Forced1Forced2DV1Inst3Forced8Forced7Forced8Forced7Forced8Forced6Forced8Forced8Forced6Forced8Forced7Forced8Forced8Forced6Forced8Forced5DV2"	1	2383	1	3657	1	3764	1	2424	1	3464	1	2923	1	1723	1	2039	1	2550	1	1786	1	1479	1	2478	1	2133	1	1468	1	1678	1	1837	1	1728	1	1963	1	1420	1	1474	1	898	1	1335	1	1217	1	1599	1	1461	1	1276	1	1634	1	1258	1	1681	1	1463	1	1298	1	1714	1	9628	1	7903	2	3584	2	3099	51	74	31	24	"5c399e3dbc644400013418e6"	19	2	2	5	30	8	4	24	11	9	4	10	4	2	6	7	18	4	3	9	14	4	11	20	202		2019-05-08 13:03:45	T	F	20	20	0	0	0.96	7
60			"base"	"interview"	2019-05-08 13:00:48	0	1	"5c8a65405abd6b0016767b56"	"Forced2Forced4Forced3Forced1Forced3Forced1Forced1Forced2Forced1Forced1Forced3Forced2Forced1Forced1Forced1Forced1DV1Inst3Forced8Forced8Forced8Forced8Forced5Forced8Forced7Forced6Forced7Forced7Forced8Forced6Forced8Forced8Forced8Forced6DV2"	1	5428	1	4755	1	2907	1	4187	1	3206	1	3045	1	1443	1	2074	1	1766	1	2019	1	2988	1	2604	1	1077	1	799	1	1230	1	1320	1	1893	1	1010	1	932	1	817	1	2145	1	1088	1	2124	1	2666	1	949	1	1169	1	915	1	1490	1	946	1	845	1	662	1	1168	1	3791	1	5113	2	7428	2	3835	77	53	58	44	"5c8a65405abd6b0016767b56"	26	2	1	3	13	11	8	27	13	14	6	5	5	3	7	9	20	9	6	6	28	4	17	43	225		2019-05-08 13:05:02	T	F	20	20	0	0	0.77	4
61			"base"	"interview"	2019-05-08 13:01:35	0	3	"5c51c8b898b0ff000110d94f"	"Forced3Forced3Forced3Forced3Forced2Forced4Forced3Forced3Forced1Forced3Forced3Forced4Forced1Forced3Forced1Forced4DV1Inst3Forced6Forced8Forced5Forced6Forced6Forced6Forced5Forced6Forced6Forced8Forced6Forced8Forced6Forced7Forced5Forced6DV2"	1	2475	1	2570	1	1717	1	1189	1	2768	1	2890	1	1357	1	955	1	2074	1	769	1	908	1	823	1	796	1	555	1	829	1	764	1	2297	1	1389	1	2421	1	885	1	757	1	732	1	780	1	735	1	698	1	780	1	558	1	532	1	716	1	1626	1	861	1	808	2	3668	2	2254	1	2866	1	836	39	71	69	46	"5c51c8b898b0ff000110d94f"	10	2	2	3	21	2	3	6	4	20	6	4	4	7	14	2	5	4	1	3	15	2	8	11	142		2019-05-08 13:03:57	T	F	20	20	0	0	1.51	31
62			"base"	"interview"	2019-05-08 13:01:48	0	15	"5b1d4ab0bdf4e100016386cf"	"Forced1Forced3Forced3Forced4Forced4Forced3Forced1Forced3Forced4Forced1Forced3Forced3Forced2Forced3Forced3Forced3DV1Inst3Forced8Forced5Forced7Forced5Forced6Forced6Forced6Forced6Forced6Forced6Forced6Forced5Forced6Forced6Forced8Forced8DV2"	1	19516	1	824	1	52345	1	490	1	472	1	407	1	805	1	635	1	383	1	686	1	439	1	482	1	589	1	483	1	416	1	352	1	925	1	637	1	458	1	984	1	603	1	402	1	336	1	350	1	400	1	216	1	129	1	350	1	679	1	373	1	737	1	440	2	4384	2	3746	2	2585	1	3837	79	49	70	55	"5b1d4ab0bdf4e100016386cf"	14	1	2	5	9	55	21	23	1	66	3	5	3	4	11	1	4	4	2	4	9	4	10	11	127		2019-05-08 13:05:58	T	F	20	20	0	0	1.29	54
63			"base"	"interview"	2019-05-08 13:01:53	0	11	"5bfdb7fcc07c3c0001fd533c"	"Forced1Forced1Forced3Forced3Forced1Forced4Forced3Forced3Forced4Forced3Forced3Forced3Forced2Forced3Forced3Forced4DV1Inst3Forced6Forced6Forced5Forced5Forced6Forced8Forced6Forced6Forced6Forced8Forced8Forced6Forced7Forced6Forced5Forced6DV2"	1	11635	1	10513	1	6569	1	4858	1	2821	1	8628	1	2657	1	1778	1	4669	1	1647	1	1617	1	1717	1	5057	1	2555	1	2275	1	4858	1	10331	1	3715	1	5982	1	1580	1	4303	1	7117	1	5551	1	5283	1	4370	1	10568	1	16032	1	17401	1	12140	1	4708	1	9641	1	15211	2	9384	2	7671	1	4415	1	3569	62	76	35	58	"5bfdb7fcc07c3c0001fd533c"	9	2	2	3	26	14	17	27	6	33	21	10	5	20	78	13	36	5	8	9	11	5	6	31	245		2019-05-08 13:08:14	T	F	20	20	0	0	0.62	4
64			"base"	"interview"	2019-05-08 13:02:17	0	28	"5bc52531cff73e0001ca7e0f"	"Forced1Forced4Forced4Forced4Forced2Forced4Forced4Forced4Forced4Forced4Forced2Forced3Forced3Forced2Forced3Forced4DV1Inst3Forced7Forced5Forced6Forced5Forced5Forced5Forced7Forced6Forced5Forced5Forced5Forced5Forced7Forced6Forced8Forced5DV2"	1	7761	1	4582	1	2564	1	922	1	4156	1	1842	1	1810	1	3474	1	1884	1	1919	1	3466	1	4686	1	8246	1	1324	1	929	1	848	1	3355	1	3113	1	2943	1	970	1	911	1	853	1	875	1	949	1	893	1	701	1	800	1	844	1	858	1	799	1	4243	1	857	1	7233	2	2263	1	4072	1	1736	57	41	59	86	"5bc52531cff73e0001ca7e0f"	6	2	2	4	19	5	5	9	12	17	31	8	3	19	8	10	6	5	2	4	9	3	10	14	185		2019-05-08 13:05:37	T	F	20	20	0	0	0.95	7
65			"base"	"interview"	2019-05-08 13:02:30	0	27	"5c61e05209c0fe0001dd2e63"	"Forced3Forced2Forced3Forced1Forced3Forced4Forced4Forced3Forced3Forced3Forced1Forced3Forced4Forced3Forced1Forced3DV1Inst3Forced6Forced6Forced8Forced6Forced8Forced8Forced7Forced6Forced5Forced6Forced5Forced6Forced6Forced6Forced6Forced5DV2"	1	4939	1	3313	1	1509	1	2326	1	1823	1	1722	1	2154	1	1056	1	2023	1	1033	1	2185	1	1097	1	1045	1	741	1	1127	1	778	1	1533	1	733	1	995	1	702	1	769	1	642	1	890	1	922	1	932	1	675	1	881	1	761	1	630	1	557	1	4107	1	581	2	7074	2	2394	2	4685	1	1980	51	70	62	37	"5c61e05209c0fe0001dd2e63"	18	2	2	5	17	1	3	8	4	20	8	8	7	4	18	2	4	5	2	3	12	3	4	12	145		2019-05-08 13:04:55	T	F	20	20	0	0	1.38	33
66			"base"	"interview"	2019-05-08 13:03:18	0	8	"5c75875860f1540016b33134"	"Forced2Forced4Forced4Forced3Forced1Forced4Forced3Forced4Forced4Forced2Forced2Forced4Forced4Forced3Forced4Forced4DV1Inst3Forced5Forced5Forced7Forced7Forced7Forced5Forced5Forced5Forced5Forced6Forced5Forced6Forced6Forced8Forced5Forced5DV2"	1	4001	1	3583	1	3494	1	2047	1	3463	1	2890	1	955	1	893	1	2683	1	1255	1	872	1	1203	1	780	1	724	1	539	1	1126	1	1839	1	640	1	1172	1	530	1	423	1	924	1	565	1	647	1	652	1	1115	1	467	1	499	1	409	1	958	1	692	1	502	2	5002	2	3373	1	2050	1	1895	30	51	86	54	"5c75875860f1540016b33134"	21	1	2	5	11	6	6	5	9	6	23	6	5	16	4	4	2	3	3	4	17	3	10	15	147		2019-05-08 13:05:56	T	F	20	20	0	0	1.18	14
67			"base"	"interview"	2019-05-08 13:03:22	0	25	"5c741aac5d19e300179d39ac"	"Forced2Forced1Forced1Forced3Forced1Forced1Forced1Forced1Forced3Forced1Forced4Forced1Forced1Forced3Forced2Forced2DV1Inst3Forced8Forced8Forced8Forced8Forced8Forced6Forced7Forced6Forced8Forced7Forced8Forced5Forced6Forced8Forced8Forced7DV2"	1	2208	1	8184	-9	-1	1	3718	1	2166	1	1140	1	802	1	725	1	866	1	886	1	2726	1	2278	1	763	1	960	1	589	1	689	1	4223	1	1722	1	758	1	709	1	693	1	2136	1	6754	1	765	1	771	1	743	1	708	1	2105	1	5826	1	785	1	731	1	685	1	26663	1	3646	2	25996	2	2201	73	34	49	73	"5c741aac5d19e300179d39ac"	5	2	2	4	25	4	3	44	6	6	4	27	5	4	14	9	17	44	62	4	10	3	6	14	192		2019-05-08 13:08:34	T	F	20	20	2	2	0.97	12
71			"base"	"interview"	2019-05-08 13:05:12	0	31	"57c0c4e9ffd38700010b44b5"	"Forced3Forced3Forced3Forced3Forced1Forced3Forced1Forced2Forced4Forced1Forced4Forced4Forced3Forced3Forced3Forced3DV1Inst3Forced6Forced7Forced6Forced6Forced5Forced5Forced8Forced6Forced8Forced8Forced6Forced6Forced6Forced6Forced6Forced5DV2"	1	3249	1	2517	1	1555	1	1653	1	1937	1	897	1	953	1	1119	1	1444	1	931	1	730	1	676	1	858	1	539	1	458	1	465	1	1478	1	842	1	702	1	894	1	856	1	637	1	937	1	692	1	453	1	395	1	647	1	581	1	493	1	474	1	439	1	413	2	4776	2	4115	2	2446	1	2422	47	56	9	9	"57c0c4e9ffd38700010b44b5"	6	1	2	5	7	2	1	6	2	19	5	6	2	4	14	1	4	3	2	5	12	4	5	10	114		2019-05-08 13:07:06	T	F	20	20	0	0	1.67	55
72			"base"	"interview"	2019-05-08 13:05:53	0	9	"5c64133c96fa1500017764ec"	"Forced1Forced1Forced2Forced4Forced3Forced2Forced1Forced2Forced1Forced3Forced1Forced1Forced1Forced1Forced1Forced3DV1Inst3Forced6Forced8Forced8Forced7Forced8Forced6Forced6Forced8Forced5Forced7Forced8Forced8Forced7Forced8Forced8Forced8DV2"	1	7493	1	6470	1	8604	1	5629	1	2068	1	4135	1	1913	1	1749	1	2026	1	1246	1	1345	1	1534	1	1526	1	1402	1	1202	1	1363	1	2016	1	1666	1	1134	1	2475	1	2334	1	1191	1	911	1	1266	1	4238	1	2422	1	837	1	906	1	941	1	911	1	728	1	695	2	17507	1	14369	2	3960	2	2885	75	44	45	35	"5c64133c96fa1500017764ec"	6	1	2	6	22	30	9	33	18	8	6	18	7	5	7	9	19	5	4	15	29	4	20	19	241		2019-05-08 13:10:40	T	F	20	20	0	0	0.66	1
73			"base"	"interview"	2019-05-08 13:06:01	0	12	"5810dfccaba80400016f13ea"	"Forced3Forced4Forced4Forced4Forced3Forced4Forced2Forced3Forced1Forced2Forced4Forced2Forced4Forced4Forced4Forced4DV1Inst3Forced7Forced7Forced8Forced6Forced5Forced5Forced5Forced5Forced5Forced6Forced6Forced5Forced7Forced5Forced5Forced5DV2"	1	10836	1	5693	1	4807	1	3312	1	3549	1	4680	1	6995	1	3183	1	3512	1	2545	1	2548	1	2521	1	2066	1	976	1	763	1	993	1	1455	1	635	1	850	1	1280	1	1026	1	710	1	661	1	636	1	612	1	804	1	630	1	665	1	1149	1	1116	1	699	1	545	1	6144	2	3653	1	2580	1	2939	47	31	84	37	"5810dfccaba80400016f13ea"	30	1	2	3	13	6	3	4	14	20	32	7	4	13	4	5	2	3	2	5	17	3	8	15	180		2019-05-08 13:09:01	T	F	20	20	0	0	1.16	14
74			"base"	"interview"	2019-05-08 13:06:36	0	6	"5c5c16a5b1ba800001ef48e2"	"Forced2Forced2Forced1Forced4Forced2Forced1Forced2Forced1Forced4Forced4Forced2Forced2Forced2Forced2Forced2Forced3DV1Inst3Forced7Forced7Forced7Forced7Forced7Forced5Forced8Forced7Forced8Forced7Forced5Forced7Forced6Forced7Forced5Forced8DV2"	1	3506	1	1954	1	1554	1	2135	1	1291	1	788	1	741	1	1178	1	890	1	731	1	1027	1	693	1	751	1	724	1	716	1	897	1	1101	1	612	1	479	1	532	1	806	1	865	1	919	1	715	1	685	1	598	1	860	1	665	1	864	1	752	1	709	1	733	1	13425	1	2800	1	1306	2	2077	16	52	82	33	"5c5c16a5b1ba800001ef48e2"	8	1	2	4	19	6	4	7	16	1	5	14	3	3	2	12	5	2	2	3	12	3	12	14	145		2019-05-08 13:09:02	T	F	20	20	0	0	1.36	36
75			"base"	"interview"	2019-05-08 13:06:57	1	29	"5c18d7ba9bce3100018a3097"	"Forced3Forced3Forced1Forced1Forced1Forced1Forced2Forced1Forced1Forced1Forced2Forced2Forced1Forced1Forced4Forced3DV1Inst3Forced8Forced6Forced8Forced6Forced8Forced7Forced8Forced6Forced8Forced8Forced8Forced7Forced5Forced7Forced8Forced8DV2"	1	9124	1	9416	1	5565	1	2253	1	1957	1	1091	1	3646	1	856	1	741	1	915	1	1167	1	1063	1	850	1	907	1	4323	1	852	1	16704	1	11391	1	3614	1	3568	1	3447	1	3922	1	3030	1	4876	1	3419	1	4112	1	3172	1	3243	1	3954	1	3209	1	3006	1	3076	2	16588	1	4244	1	60476	2	4430	50	51	53	50	"5c18d7ba9bce3100018a3097"	28	1	2	5	74	7	5	21	8	21	5	17	3	5	22	11	50	61	3	5	22	6	8	19	213		2019-05-08 13:13:10	T	F	20	20	0	0	0.74	4
76			"base"	"interview"	2019-05-08 13:07:04	1	23	"5c73d1a39e3b0800018131b2"	"Forced1Forced4Forced3Forced4Forced1Forced1Forced3Forced3Forced3Forced3Forced3Forced3Forced4Forced3Forced3Forced2DV1Inst3Forced6Forced5Forced6Forced5Forced6Forced5Forced7Forced6Forced8Forced8Forced6Forced6Forced6Forced6Forced8Forced6DV2"	1	4581	1	3937	1	2262	1	2499	1	1031	1	1142	1	1098	1	1064	1	1591	1	1068	1	866	1	616	1	826	1	461	1	532	1	1659	1	2480	1	1951	1	1126	1	755	1	851	1	806	1	1599	1	1187	1	1654	1	1206	1	1078	1	1067	1	1167	1	604	1	1171	1	1039	2	11696	2	8532	1	7949	1	3983	44	53	79	16	"5c73d1a39e3b0800018131b2"	19	1	2	5	13	6	12	8	2	15	10	13	6	7	15	2	6	8	3	9	27	5	6	46	182		2019-05-08 13:10:43	T	F	20	20	0	0	0.96	19
77			"base"	"interview"	2019-05-08 13:07:10	1	26	"58add914ef58a9000119d98c"	"Forced4Forced2Forced4Forced2Forced2Forced3Forced2Forced2Forced2Forced2Forced4Forced2Forced1Forced2Forced1Forced1DV1Inst3Forced7Forced7Forced8Forced5Forced7Forced8Forced5Forced7Forced8Forced7Forced7Forced5Forced7Forced7Forced6Forced7DV2"	1	4132	1	2288	1	3122	1	1440	1	1291	1	1870	1	851	1	585	1	696	1	621	1	926	1	497	1	1011	1	563	1	510	1	588	1	1152	1	686	1	1158	1	917	1	1141	1	1144	1	959	1	926	1	1084	1	965	1	943	1	828	1	763	1	710	1	827	1	635	2	10623	2	10137	1	3176	2	2630	15	22	37	55	"58add914ef58a9000119d98c"	10	1	2	4	21	5	2	3	17	3	10	12	3	5	2	14	6	4	2	11	14	3	10	13	160		2019-05-08 13:09:50	T	F	20	20	0	0	1.29	21
78			"base"	"interview"	2019-05-08 13:07:34	1	12	"5bd0590b1c80bf0001f73001"	"Forced3Forced4Forced3Forced4Forced3Forced4Forced4Forced2Forced4Forced2Forced1Forced4Forced4Forced2Forced4Forced4DV1Inst3Forced6Forced5Forced5Forced5Forced7Forced5Forced5Forced5Forced6Forced5Forced5Forced7Forced7Forced5Forced6Forced8DV2"	1	2337	1	4271	1	1076	1	804	1	786	1	809	1	601	1	1468	1	722	1	1423	1	818	1	744	1	656	1	685	1	653	1	1029	1	1062	1	751	1	536	1	510	1	679	1	668	1	593	1	513	1	685	1	541	1	479	1	658	1	492	1	633	1	582	1	714	2	2467	2	2003	1	1883	1	1527	36	65	62	90	"5bd0590b1c80bf0001f73001"	8	2	2	1	9	2	4	1	5	6	17	4	2	11	4	4	2	2	2	3	8	2	5	9	102		2019-05-08 13:09:16	T	F	20	20	0	0	1.78	54
79			"base"	"interview"	2019-05-08 13:07:55	1	22	"5c02d8f6b0175a0001291d7c"	"Forced1Forced1Forced2Forced2Forced2Forced1Forced3Forced4Forced2Forced2Forced2Forced4Forced4Forced2Forced2Forced2DV1Inst3Forced8Forced7Forced7Forced7Forced7Forced7Forced8Forced5Forced7Forced5Forced6Forced8Forced7Forced7Forced5Forced7DV2"	1	1281	1	2102	1	1823	1	877	1	1173	1	2858	1	3153	1	810	1	553	1	607	1	562	1	670	1	715	1	921	1	517	1	502	1	1736	1	1141	1	766	1	525	1	619	1	488	1	495	1	1088	1	857	1	668	1	1137	1	811	1	786	1	2394	1	776	1	647	1	5852	1	4461	2	1459	2	1907	62	27	71	49	"5c02d8f6b0175a0001291d7c"	3	1	2	4	12	5	10	9	13	4	3	7	6	4	2	14	5	2	2	5	11	3	11	17	145		2019-05-08 13:10:20	T	F	20	20	0	0	1.28	19
80			"base"	"interview"	2019-05-08 13:08:05	1	2	"5c8f8ca93d91e600106bc35a"	"Forced2Forced2Forced2Forced2Forced4Forced2Forced1Forced2Forced3Forced2Forced1Forced1Forced2Forced4Forced2Forced4DV1Inst3Forced5Forced8Forced5Forced7Forced7Forced7Forced8Forced6Forced7Forced7Forced7Forced7Forced5Forced7Forced7Forced8DV2"	1	3476	1	6258	1	790	1	507	1	2592	1	922	1	1861	1	631	1	633	1	551	1	619	1	551	1	671	1	700	1	349	1	679																																	1	12373											"5c8f8ca93d91e600106bc35a"					9	1	2	5	20	2	6	13													58		2019-05-08 13:09:03	F	F	8	8	0	0	1.71	68
