"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"UR01_CP"	"UR01"	"IV01_RV1"	"IV02_01"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR01_05"	"TR01_05a"	"TR01_06"	"TR01_06a"	"TR01_07"	"TR01_07a"	"TR01_08"	"TR01_08a"	"TR01_09"	"TR01_09a"	"TR01_10"	"TR01_10a"	"TR01_11"	"TR01_11a"	"TR01_12"	"TR01_12a"	"TR01_13"	"TR01_13a"	"TR01_14"	"TR01_14a"	"TR01_15"	"TR01_15a"	"TR01_16"	"TR01_16a"	"DV01_01"	"DV07_02"	"DV02_01"	"DV08_02"	"DV06_01"	"DV06_02"	"DV05_01"	"DV09_01"	"DV09_01a"	"DV10_01"	"DV10_01a"	"DM01_01"	"DM02"	"DM03"	"DM04"	"DM05"	"DM06_01"	"DM07_01"	"DM08"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
171			"base"	"interview"	2020-03-20 10:54:17	6	30	"5dfe0a9bef7f5eab40939973"	"Forced2Forced1Forced2Forced2Forced2Forced1Forced4Forced1Forced4Forced4Forced3Forced2Forced2Forced2Forced2Forced2DV"	1	2118	1	1862	1	1086	1	977	1	550	1	738	1	1357	1	1752	1	1517	1	757	1	1083	1	873	1	582	1	449	1	448	1	436	61	37	50	34	81	29	27	1	5194	1	8096	"5dfe0a9bef7f5eab40939973"	2	1	2	2	"Poland"	"Polish"	1	1029	15	7	13	2	6	8	9	6	9	17	8	13	147		2020-03-20 11:13:19	T	F	14	14	0	0	1.35	26
172			"base"	"interview"	2020-03-20 10:54:17	2	32	"5c3c5a231a407e00017d13a2"	"Forced4Forced2Forced4Forced4Forced3Forced3Forced4Forced2Forced2Forced1Forced4Forced3Forced4Forced4Forced4Forced4DV"	1	7925	1	9863	1	4296	1	3086	1	2530	1	1671	1	1854	1	2173	1	5321	1	3968	1	2583	1	1928	1	2130	1	1212	1	1312	1	1847	34	62	81	73	18	69	66	2	5079	2	14018	"5c3c5a231a407e00017d13a2"	12	1	2	5	"italy"	"italian"	2	52	42	5	20	9	35	15	9	6	33	30	18	14	261		2020-03-20 10:59:06	T	F	14	14	0	0	0.85	6
173			"base"	"interview"	2020-03-20 10:54:18	1	28	"5d29fbc8f91bdd0016e98503"	"Forced4Forced4Forced2Forced4Forced4Forced2Forced2Forced3Forced1Forced4Forced4Forced4Forced4Forced4Forced3Forced3DV"	1	3979	1	3383	1	2537	1	2193	1	1836	1	1884	1	1004	1	3387	1	2274	1	2276	1	1661	1	1841	1	1564	1	1585	1	1759	1	1368	41	11	71	91	51	41	33	1	6316	1	3626	"5d29fbc8f91bdd0016e98503"	3	1	2	2	"Portuguese/Portugal"	"Ukrainian, Portuguese"	2	38	13	3	7	8	26	4	7	7	19	36	10	31	209		2020-03-20 10:57:47	T	F	14	14	0	0	1.26	19
175			"base"	"interview"	2020-03-20 10:54:18	1	30	"5dd5105a82569a4c04723f7e"	"Forced2Forced1Forced4Forced2Forced2Forced2Forced2Forced2Forced4Forced1Forced2Forced3Forced2Forced2Forced4Forced1DV"	1	3142	1	3218	1	1626	1	1176	1	3714	1	850	1	556	1	637	1	696	1	702	1	797	1	1276	1	683	1	452	1	988	1	523	15	26	91	81	15	41	51	2	8013	2	9414	"5dd5105a82569a4c04723f7e"	6	1	2	4	"Greek"	"Greek"	1	15	21	6	17	2	6	10	11	9	9	45	15	16	182		2020-03-20 10:57:20	T	F	14	14	0	0	1.28	23
176			"base"	"interview"	2020-03-20 10:54:18	3	28	"5d833e4fec07340015a6a55c"	"Forced2Forced3Forced1Forced4Forced4Forced2Forced4Forced4Forced4Forced4Forced2Forced3Forced4Forced4Forced3Forced4DV"	1	6148	1	2600	1	1747	1	1673	1	708	1	2381	1	557	1	551	1	496	1	472	1	711	1	489	1	651	1	416	1	1001	1	538	30	25	52	63	13	87	72	2	5232	2	6565	"5d833e4fec07340015a6a55c"	6	2	2	5	"portuguese"	"portuguese"	2	72	23	2	11	8	13	8	13	6	8	16	10	21	211		2020-03-20 10:57:49	T	F	14	14	0	0	1.21	20
177			"base"	"interview"	2020-03-20 10:54:20	4	27	"5cc5af95ce735c0017908790"	"Forced3Forced1Forced3Forced4Forced3Forced2Forced1Forced3Forced3Forced3Forced3Forced4Forced3Forced4Forced1Forced3DV"	1	5367	1	2615	1	1117	1	3127	1	1450	1	2811	1	1285	1	947	1	632	1	543	1	465	1	1580	1	748	1	503	1	673	1	655	51	51	26	31	41	61	51	1	11129	1	17317	"5cc5af95ce735c0017908790"	2	1	2	3	"Portuguese, Russian"	"Portuguese"	2	100	24	6	3	20	7	18	17	11	32	67	10	38	353		2020-03-20 11:00:13	T	F	14	14	0	0	0.89	10
178			"base"	"interview"	2020-03-20 10:54:22	3	3	"5c6b0a27ffc824000191c7d8"	"Forced3Forced3Forced4Forced1Forced3Forced1Forced4Forced3Forced2Forced3Forced3Forced1Forced4Forced3Forced3Forced3DV"	1	7877	1	2502	1	3445	1	2029	1	1410	1	1477	1	1376	1	1194	1	1382	1	1000	1	906	1	959	1	991	1	1020	1	817	1	721	89	69	101	77	88	88	81	2	7820	2	73895	"5c6b0a27ffc824000191c7d8"	11	2	2	5	"Polish"	"Polish"	1	67	37	7	2	24	7	75	7	8	7	15	10	31	232		2020-03-20 10:59:19	T	F	14	14	0	0	1.16	25
179			"base"	"interview"	2020-03-20 10:54:22	2	12	"5e54f230a4cd214f0f6ca6f1"	"Forced4Forced3Forced1Forced2Forced4Forced2Forced4Forced4Forced4Forced3Forced4Forced3Forced2Forced4Forced4Forced4DV"	1	5734	1	3156	1	1753	1	1785	1	2109	1	1987	1	1634	1	1203	1	1031	1	1089	1	953	1	1370	1	1173	1	1356	1	893	1	874	62	27	37	67	60	21	30	1	6060	1	5265	"5e54f230a4cd214f0f6ca6f1"	10	1	2	3	"Estonian, Russian"	"Estonian, Russian"	2	39	17	3	6	7	22	6	13	7	23	32	256	34	220		2020-03-20 11:02:07	T	F	14	14	0	0	1.05	13
180			"base"	"interview"	2020-03-20 10:54:22	5	30	"5c032a4429abc00001990d7f"	"Forced2Forced2Forced1Forced2Forced1Forced1Forced4Forced4Forced2Forced2Forced4Forced2Forced2Forced3Forced2Forced2DV"	1	3509	1	3200	1	3731	1	1924	1	950	1	886	1	2927	1	1214	1	2663	1	1275	1	1222	1	1110	1	1080	1	3267	1	897	1	1199	18	11	91	92	20	11	71	2	13317	2	5622	"5c032a4429abc00001990d7f"	14	2	2	4	"french"	"french"	1	230	28	7	22	4	7	7	15	14	19	52	21	20	250		2020-03-20 11:01:48	T	F	14	14	0	0	0.86	7
181			"base"	"interview"	2020-03-20 10:54:23	1	5	"5d5ba6430ffa48001b458d64"	"Forced1Forced3Forced1Forced1Forced1Forced3Forced2Forced1Forced2Forced3Forced1Forced1Forced1Forced2Forced4Forced1DV"	1	2659	1	2560	1	1996	1	1055	1	647	1	957	1	5496	1	803	1	850	1	1447	1	772	1	664	1	1661	1	6919	1	1510	1	776	71	57	54	44	72	62	1	1	4379	1	6941	"5d5ba6430ffa48001b458d64"	16	2	2	4	"British"	"English"	1	28	22	19	16	8	2	8	13	5	8	17	28	10	167		2020-03-20 10:57:27	T	F	14	14	0	0	1.27	24
