"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"UR01_CP"	"UR01"	"IV01_RV1"	"IV02_01"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR01_05"	"TR01_05a"	"TR01_06"	"TR01_06a"	"TR01_07"	"TR01_07a"	"TR01_08"	"TR01_08a"	"TR01_09"	"TR01_09a"	"TR01_10"	"TR01_10a"	"TR01_11"	"TR01_11a"	"TR01_12"	"TR01_12a"	"TR01_13"	"TR01_13a"	"TR01_14"	"TR01_14a"	"TR01_15"	"TR01_15a"	"TR01_16"	"TR01_16a"	"DV01_01"	"DV01_01a"	"DV02_01"	"DV02_01a"	"DV03_01"	"DV04_01"	"DV05_01"	"DV05_01a"	"DV06_01"	"DV06_01a"	"DV07_01"	"DV07_02"	"DV08_01"	"DV08_02"	"DV09_01"	"DV09_02"	"DV10_01"	"DV10_02"	"DV11_01"	"DV11_02"	"DV12_01"	"DV12_02"	"DM01_01"	"DM02"	"DM03"	"DM04"	"DM05"	"DM06_01"	"DM07_01"	"DM08"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
33			"base"	"interview"	2020-07-27 11:04:42	0	59	"5e21780bdbc67045123a91f2"	"Forced3Forced3Forced1Forced4Forced1Forced3Forced3Forced3Forced3Forced2Forced3Forced4Forced3Forced1Forced3Forced4DV"	1	25464	1	3736	1	10290	1	5381	1	2182	1	1726	1	1491	1	1445	1	2008	1	4911	1	1825	1	2209	1	1751	1	1442	1	1624	1	1737	1	11496	2	7851	41	65	1	11060	2	345			17	38	78	64	10	77	85	76	76	75	"5e21780bdbc67045123a91f2"	18	2	1	6	"Australian"	"English"	1	26	7	21	6	51	13	9	31	1	25	14	14	11	13	18	19	16	218		2020-07-27 11:09:37	T	F	18	18	0	0	1.01	22
34			"base"	"interview"	2020-07-27 11:04:47	0	26	"5ee90f2fb743ce280c9dd3ed"	"Forced2Forced2Forced2Forced1Forced4Forced2Forced2Forced2Forced2Forced4Forced1Forced2Forced3Forced2Forced1Forced4DV"	1	8267	1	6925	1	4139	1	4481	1	2723	1	4786	1	4422	1	2010	1	3212	1	4002	1	2858	1	2212	1	3674	1	2200	1	3096	1	1887	2	9199	1	4170	91	41	2	5566	1	8651	31	71			31	76	91	41	41	82	52	52	"5ee90f2fb743ce280c9dd3ed"	8	2	2	5	"Greek"	"Greek"	2	54	22	15	52	5	12	10	14	7	66	53	6	23	10	51	16	40	325		2020-07-27 11:12:23	T	F	18	18	0	0	0.66	2
35			"base"	"interview"	2020-07-27 11:05:00	0	24	"5ea6f7e729dc5208faedaa79"	"Forced4Forced3Forced4Forced4Forced3Forced3Forced4Forced2Forced4Forced1Forced4Forced4Forced4Forced4Forced2Forced2DV"	1	2536	1	1952	1	1071	1	845	1	613	1	524	1	628	1	1798	1	841	1	687	1	636	1	626	1	572	1	502	1	678	1	655	1	8588	2	3382	1	97	1	3346	1	7428	8	18			56	56	4	51	101	68	94	30	"5ea6f7e729dc5208faedaa79"	2	1	2	5	"Portoguese"	"Portuguese"	1	20	2	1	6	4	14	9	12	4	11	8	4	10	8	10	7	23	153		2020-07-27 11:07:33	T	F	18	18	0	0	1.58	64
36			"base"	"interview"	2020-07-27 11:05:16	2	17	"5eb55b287c968c3edf2be99d"	"Forced1Forced1Forced3Forced1Forced1Forced3Forced2Forced2Forced1Forced3Forced4Forced1Forced2Forced1Forced1Forced1DV"	1	5040	1	3241	1	3737	1	1718	1	1121	1	1466	1	3436	1	834	1	949	1	923	1	2486	1	845	1	541	1	575	1	473	1	556	1	15072	2	4883	36	71	2	3451	2	3184	57	43			68	46	42	28	51	61	50	55	"5eb55b287c968c3edf2be99d"	1	2	2	2	"Poland"	"Polish"	1	662	14	22	7	7	3	15	6	4	11	7	6	9	4	9	10	16	179		2020-07-27 11:18:49	T	F	18	18	0	0	1.38	25
37			"base"	"interview"	2020-07-27 11:05:23	0	49	"5c0e87aa6f519c0001764e4e"	"Forced3Forced1Forced1Forced2Forced2Forced4Forced1Forced1Forced2Forced1Forced1Forced3Forced1Forced1Forced3Forced1DV"	1	20150	1	6200	1	7600	1	15198	1	1083	1	2496	1	1447	1	895	1	1900	1	2294	1	1472	1	1219	1	1042	1	1006	1	1457	1	938	2	1879	1	4349	99	21	2	1952	2	4324			101	1	11	92	5	85	21	81	8	85	"5c0e87aa6f519c0001764e4e"	14	2	2	5	"canada"	"English"	2	36	14	30	21	25	3	5	11	5	24	9	3	6	2	13	11	17	235		2020-07-27 11:09:19	T	F	18	18	0	0	1.31	22
38			"base"	"interview"	2020-07-27 11:05:26	0	7	"5ecb11b219906d67f5b1e687"	"Forced1Forced3Forced2Forced3Forced3Forced4Forced4Forced3Forced3Forced3Forced1Forced1Forced3Forced3Forced3Forced4DV"	1	4050	1	1964	1	3239	1	794	1	2266	1	3539	1	1239	1	1264	1	920	1	1003	1	5763	1	1299	1	876	1	955	1	973	1	2300	1	3301	2	3417	29	78	1	3012	2	7664	68	38			70	20	34	70	37	26	47	49	"5ecb11b219906d67f5b1e687"	1	1	1	2	"American, Korean"	"English"	1	8	14	13	4	20	9	4	6	3	31	11	4	9	8	16	9	47	216		2020-07-27 11:09:02	T	F	18	18	0	0	1.33	24
39			"base"	"interview"	2020-07-27 11:05:31	0	56	"5dd6fd26a0f99f000d914736"	"Forced4Forced4Forced4Forced4Forced1Forced3Forced4Forced2Forced3Forced3Forced4Forced4Forced2Forced2Forced4Forced4DV"	1	2959	1	1803	1	2371	1	1047	1	1747	1	1332	1	1389	1	1188	1	1457	1	1785	1	1058	1	1181	1	1086	1	844	1	1086	1	620	2	3964	1	12276	96	14	2	4030	2	5285			57	20	69	31	35	76	91	82	62	87	"5dd6fd26a0f99f000d914736"	2	1	2	3	"Poland"	"Polish"	2	34	26	2	5	7	20	13	19	6	32	14	4	8	5	11	7	12	225		2020-07-27 11:09:17	T	F	18	18	0	0	1.21	20
40			"base"	"interview"	2020-07-27 11:05:47	0	9	"5e6d3ce53295e8000aefafa9"	"Forced1Forced3Forced1Forced1Forced1Forced1Forced4Forced1Forced1Forced2Forced2Forced3Forced1Forced1Forced3Forced2DV"	1	4424	1	2313	1	2169	1	2835	1	3610	1	6124	1	3189	1	1251	1	781	1	1972	1	876	1	1265	1	855	1	723	1	1080	1	716	1	4269	2	2571	46	72	1	3735	2	32886	49	36			53	37	35	52	29	49	58	57	"5e6d3ce53295e8000aefafa9"	4	1	2	2	"italian"	"italian"	2	19	8	29	5	7	4	5	8	4	19	12	3	4	34	15	11	13	172		2020-07-27 11:09:07	T	F	18	18	0	0	1.42	26
41			"base"	"interview"	2020-07-27 11:06:08	0	62	"5eacb65b5fe9ad3315a0a595"	"Forced2Forced4Forced2Forced4Forced4Forced2Forced3Forced1Forced2Forced2Forced1Forced1Forced2Forced2Forced2Forced2DV"	1	3567	1	4436	1	1619	1	936	1	1000	1	820	1	1375	1	998	1	798	1	607	1	645	1	662	1	566	1	1003	1	700	1	731	1	3881	2	5437	-9	-9	1	4215	2	4384			75	81	76	61	24	36	77	63	26	36	"5eacb65b5fe9ad3315a0a595"	18	1	2	4	"united kingdom"	"English"	1	8	35	4	17	2	9	6	10	5	21	10	5	3	5	11	7	18	176		2020-07-27 11:09:04	T	F	18	18	5	5	1.53	36
42			"base"	"interview"	2020-07-27 11:06:20	0	40	"5d0e091ccd9c9300191cb9c9"	"Forced3Forced4Forced4Forced4Forced3Forced4Forced3Forced2Forced4Forced4Forced4Forced1Forced4Forced2Forced2Forced4DV"	1	2535	1	1713	1	1062	1	643	1	1075	1	779	1	778	1	1550	1	1024	1	705	1	616	1	1017	1	903	1	654	1	853	1	869	1	3359	2	5375	45	67	1	2979	1	5692			15	79	74	67	76	23	91	87	89	93	"5d0e091ccd9c9300191cb9c9"	12	2	2	2	"British"	"English"	1	9	22	1	5	8	16	6	7	6	19	7	4	5	4	10	8	18	155		2020-07-27 11:08:55	T	F	18	18	0	0	1.56	49
